-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
ɕœːp̚˩˧	△	△	↦ soep5 [sœːp̚˩˧]	↦ soep5 [sœːp̚˩˧]	⊖	⊖	sheǔp	↦ seób [sœːp̚˩˧]	↦ sêb5 [sœːp̚˩˧]	↦ seup5 [sœːp̚˩˧]	↦ ˏsœp [sœːp̚˩˧]	↦ ˏseup [sœːp̚˩˧]	↦ séuhp [sœːp̚˩˧]
ɕœːt̚˥	△	△	↦ soet7 [sɵt̚˥]	↦ soet1 [sœːt̚˥]	sjoet55^4	sjoet55^4	sheut	↦ seöd [sœːt̚˥]	↦ sêd1 [sɵt̚˥]	↦ seut1° [sœːt̚˥]	↦ ˈsœt [sɵt̚˥]	↦ ˈseut [sɵt̚˥]	↦ sēut [sɵt̚˥]
ɕœːt̚˥˧	△	△	↦ soet7 [sɵt̚˥]	↦ soet1 [sœːt̚˥]	⊖	⊖	↦ sheut [ɕœːt̚˥]	↦ seöd [sœːt̚˥]	↦ sêd1 [sɵt̚˥]	↦ seut1 [sœːt̚˥˧]	↦ ˈsœt [sɵt̚˥]	↦ ˈseut [sɵt̚˥]	↦ sèut [sɵt̚˥˧]
ɕœːt̚˧	△	△	↦ soet8 [sɵt̚˧]	↦ soet3 [sœːt̚˧]	sjoet33-4	sjoet33-4	sheùt	↦ seôd [sœːt̚˧]	↦ sêd3 [sɵt̚˧]	↦ seut3 [sœːt̚˧]	↦ ˉsœt [sɵt̚˧]	↦ ˉseut [sɵt̚˧]	↦ seut [sɵt̚˧]
ɕœːt̚˧˥	△	△	↦ soet2 [sɵt̚˧˥]	↦ soet2 [sœːt̚˧˥]	⊖	⊖	sheút	↦ seõd [sœːt̚˧˥]	↦ sêd2 [sɵt̚˧˥]	↦ seut2 [sœːt̚˧˥]	↦ ˊsœt [sɵt̚˧˥]	↦ ˊseut [sɵt̚˧˥]	↦ séut [sɵt̚˧˥]
ɕœːt̚˨	△	△	↦ soet9 [sɵt̚˨]	↦ soet6 [sœːt̚˨]	sjoet22_4	sjoet22_4	sheūt	↦ seòd [sœːt̚˨]	↦ sêd6 [sɵt̚˨]	↦ seut6 [sœːt̚˨]	↦ ˍsœt [sɵt̚˨]	↦ ˍseut [sɵt̚˨]	↦ seuht [sɵt̚˨]
ɕœːt̚˩	△	△	↦ soet4 [sɵt̚˩]	↦ soet4 [sœːt̚˩]	⊖	⊖	sheût	↦ seod [sœːt̚˩]	↦ sêd4 [sɵt̚˩]	↦ seut4 [sœːt̚˩]	↦ ˌsœt [sɵt̚˩]	↦ ˌseut [sɵt̚˩]	↦ sèuht [sɵt̚˩]
ɕœːt̚˩˧	△	△	↦ soet5 [sɵt̚˩˧]	↦ soet5 [sœːt̚˩˧]	⊖	⊖	sheǔt	↦ seód [sœːt̚˩˧]	↦ sêd5 [sɵt̚˩˧]	↦ seut5 [sœːt̚˩˧]	↦ ˏsœt [sɵt̚˩˧]	↦ ˏseut [sɵt̚˩˧]	↦ séuht [sɵt̚˩˧]
ɕœːu̯˥	△	△	↦ soeu1 [sœːu̯˥]	↦ soeu1 [sœːu̯˥]	sjoeu55^1	sjoeu55^1	sheuu	↦ seöu [sœːu̯˥]	↦ sêu1 [sœːu̯˥]	↦ seuu1° [sœːu̯˥]	↦ ˈsœu [sœːu̯˥]	↦ ˈseuu [sœːu̯˥]	↦ sēuu [sœːu̯˥]
ɕœːu̯˥˧	△	△	↦ soeu1 [sœːu̯˥]	↦ soeu1 [sœːu̯˥]	sjoeu53^1	sjoeu53^1	↦ sheuu [ɕœːu̯˥]	↦ seöu [sœːu̯˥]	↦ sêu1 [sœːu̯˥]	↦ seuu1 [sœːu̯˥˧]	↦ ˈsœu [sœːu̯˥]	↦ ˈseuu [sœːu̯˥]	↦ sèuu [sœːu̯˥˧]
ɕœːu̯˧	△	△	↦ soeu3 [sœːu̯˧]	↦ soeu3 [sœːu̯˧]	sjoeu33^3	sjoeu33^3	sheuù	↦ seôu [sœːu̯˧]	↦ sêu3 [sœːu̯˧]	↦ seuu3 [sœːu̯˧]	↦ ˉsœu [sœːu̯˧]	↦ ˉseuu [sœːu̯˧]	↦ seuu [sœːu̯˧]
ɕœːu̯˧˥	△	△	↦ soeu2 [sœːu̯˧˥]	↦ soeu2 [sœːu̯˧˥]	sjoeu35^2	sjoeu35^2	sheuú	↦ seõu [sœːu̯˧˥]	↦ sêu2 [sœːu̯˧˥]	↦ seuu2 [sœːu̯˧˥]	↦ ˊsœu [sœːu̯˧˥]	↦ ˊseuu [sœːu̯˧˥]	↦ séuu [sœːu̯˧˥]
ɕœːu̯˨	△	△	↦ soeu6 [sœːu̯˨]	↦ soeu6 [sœːu̯˨]	sjoeu22_3	sjoeu22_3	sheuū	↦ seòu [sœːu̯˨]	↦ sêu6 [sœːu̯˨]	↦ seuu6 [sœːu̯˨]	↦ ˍsœu [sœːu̯˨]	↦ ˍseuu [sœːu̯˨]	↦ seuuh [sœːu̯˨]
ɕœːu̯˩	△	△	↦ soeu4 [sœːu̯˩]	↦ soeu4 [sœːu̯˩]	sjoeu11_1	sjoeu11_1	sheuû	↦ seou [sœːu̯˩]	↦ sêu4 [sœːu̯˩]	↦ seuu4 [sœːu̯˩]	↦ ˌsœu [sœːu̯˩]	↦ ˌseuu [sœːu̯˩]	↦ sèuuh [sœːu̯˩]
ɕœːu̯˩˧	△	△	↦ soeu5 [sœːu̯˩˧]	↦ soeu5 [sœːu̯˩˧]	sjoeu13_2	sjoeu13_2	sheuǔ	↦ seóu [sœːu̯˩˧]	↦ sêu5 [sœːu̯˩˧]	↦ seuu5 [sœːu̯˩˧]	↦ ˏsœu [sœːu̯˩˧]	↦ ˏseuu [sœːu̯˩˧]	↦ séuuh [sœːu̯˩˧]
ɕœːy̯˥	△	△	△	△	sjoey55^1	sjoey55^1	△	△	△	△	↦ ˈsœy [sɵy̯˥]	△	△
ɕœːy̯˥˧	△	△	△	△	sjoey53^1	sjoey53^1	△	△	△	△	↦ ˈsœy [sɵy̯˥]	△	△
ɕœːy̯˧	△	△	△	△	sjoey33^3	sjoey33^3	△	△	△	△	↦ ˉsœy [sɵy̯˧]	△	△
ɕœːy̯˧˥	△	△	△	△	sjoey35^2	sjoey35^2	△	△	△	△	↦ ˊsœy [sɵy̯˧˥]	△	△
ɕœːy̯˨	△	△	△	△	sjoey22_3	sjoey22_3	△	△	△	△	↦ ˍsœy [sɵy̯˨]	△	△
ɕœːy̯˩	△	△	△	△	sjoey11_1	sjoey11_1	△	△	△	△	↦ ˌsœy [sɵy̯˩]	△	△
ɕœːy̯˩˧	△	△	△	△	sjoey13_2	sjoey13_2	△	△	△	△	↦ ˏsœy [sɵy̯˩˧]	△	△
ɕœːŋ˥	↦ ⠎⠒⠀ [sœːŋ˥]	↦ 샤ᇰ [sœːŋ˥]	↦ soeng1 [sœːŋ˥]	↦ soeng1 [sœːŋ˥]	sjoeŋ55^1	sjoeng55^1	sheung	↦ seöng [sœːŋ˥]	↦ sêng1 [sœːŋ˥]	↦ seung1° [sœːŋ˥]	↦ ˈsœŋ [sœːŋ˥]	↦ ˈseung [sœːŋ˥]	↦ sēung [sœːŋ˥]
ɕœːŋ˥˧	↦ ⠎⠒⠀ [sœːŋ˥]	↦ 샤ᇰ [sœːŋ˥]	↦ soeng1 [sœːŋ˥]	↦ soeng1 [sœːŋ˥]	sjoeŋ53^1	sjoeng53^1	↦ sheung [ɕœːŋ˥]	↦ seöng [sœːŋ˥]	↦ sêng1 [sœːŋ˥]	↦ seung1 [sœːŋ˥˧]	↦ ˈsœŋ [sœːŋ˥]	↦ ˈseung [sœːŋ˥]	↦ sèung [sœːŋ˥˧]
ɕœːŋ˧	↦ ⠎⠒⠈ [sœːŋ˧]	↦ 샤ᇰ〮 [sœːŋ˧]	↦ soeng3 [sœːŋ˧]	↦ soeng3 [sœːŋ˧]	sjoeŋ33^3	sjoeng33^3	sheùng	↦ seông [sœːŋ˧]	↦ sêng3 [sœːŋ˧]	↦ seung3 [sœːŋ˧]	↦ ˉsœŋ [sœːŋ˧]	↦ ˉseung [sœːŋ˧]	↦ seung [sœːŋ˧]
ɕœːŋ˧˥	↦ ⠎⠒⠁ [sœːŋ˧˥]	↦ 샤ᇰ〯 [sœːŋ˧˥]	↦ soeng2 [sœːŋ˧˥]	↦ soeng2 [sœːŋ˧˥]	sjoeŋ35^2	sjoeng35^2	sheúng	↦ seõng [sœːŋ˧˥]	↦ sêng2 [sœːŋ˧˥]	↦ seung2 [sœːŋ˧˥]	↦ ˊsœŋ [sœːŋ˧˥]	↦ ˊseung [sœːŋ˧˥]	↦ séung [sœːŋ˧˥]
ɕœːŋ˨	↦ ⠎⠒⠂ [sœːŋ˨]	↦ 샤ᇰ̣ [sœːŋ˨]	↦ soeng6 [sœːŋ˨]	↦ soeng6 [sœːŋ˨]	sjoeŋ22_3	sjoeng22_3	sheūng	↦ seòng [sœːŋ˨]	↦ sêng6 [sœːŋ˨]	↦ seung6 [sœːŋ˨]	↦ ˍsœŋ [sœːŋ˨]	↦ ˍseung [sœːŋ˨]	↦ seuhng [sœːŋ˨]
ɕœːŋ˩	↦ ⠎⠒⠄ [sœːŋ˩]	↦ 샤ᇰ̲ [sœːŋ˩]	↦ soeng4 [sœːŋ˩]	↦ soeng4 [sœːŋ˩]	sjoeŋ11_1	sjoeng11_1	sheûng	↦ seong [sœːŋ˩]	↦ sêng4 [sœːŋ˩]	↦ seung4 [sœːŋ˩]	↦ ˌsœŋ [sœːŋ˩]	↦ ˌseung [sœːŋ˩]	↦ sèuhng [sœːŋ˩]
ɕœːŋ˩˧	↦ ⠎⠒⠠ [sœːŋ˩˧]	↦ 샤ᇰ̤ [sœːŋ˩˧]	↦ soeng5 [sœːŋ˩˧]	↦ soeng5 [sœːŋ˩˧]	sjoeŋ13_2	sjoeng13_2	sheǔng	↦ seóng [sœːŋ˩˧]	↦ sêng5 [sœːŋ˩˧]	↦ seung5 [sœːŋ˩˧]	↦ ˏsœŋ [sœːŋ˩˧]	↦ ˏseung [sœːŋ˩˧]	↦ séuhng [sœːŋ˩˧]
ɕɐ˥	△	△	↦ sa1 [sɐ˥]	↦ sa1 [sɐ˥]	sja55^1	sja55^1	↦ sha [ɕaː˥]	↦ säh [sɐ˥]	↦ se1 [sɐ˥]	↦ sa1° [saː˥]	↦ ˈsɐ [sɐ˥]	↦ ˈsa [sɐ˥]	↦ sā [saː˥]
