-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
kaːu̯˧	⠅⠌⠈	ᄀᅷ〮	gaau3	gaau3	kaau33^3	kaau33^3	kaaù	gâu	gao3	gaau3	ˉgau	ˉgaau	gaau
kaːu̯˧˥	⠅⠌⠁	ᄀᅷ〯	gaau2	gaau2	kaau35^2	kaau35^2	kaaú	gãu	gao2	gaau2	ˊgau	ˊgaau	gáau
kaːu̯˨	⠅⠌⠂	ᄀᅷ̣	gaau6	gaau6	kaau22_3	kaau22_3	kaaū	gàu	gao6	gaau6	ˍgau	ˍgaau	gaauh
kaːu̯˩	⠅⠌⠄	ᄀᅷ̲	gaau4	gaau4	kaau11_1	kaau11_1	kaaû	gau	gao4	gaau4	ˌgau	ˌgaau	gàauh
kaːu̯˩˧	⠅⠌⠠	ᄀᅷ̤	gaau5	gaau5	kaau13_2	kaau13_2	kaaǔ	gáu	gao5	gaau5	ˏgau	ˏgaau	gáauh
kaːy̯˥	△	△	△	△	kaay55^1	kaay55^1	△	△	△	△	ˈgay	△	△
kaːy̯˥˧	△	△	△	△	kaay53^1	kaay53^1	△	△	△	△	↦ ˈgay [kaːy̯˥]	△	△
kaːy̯˧	△	△	△	△	kaay33^3	kaay33^3	△	△	△	△	ˉgay	△	△
kaːy̯˧˥	△	△	△	△	kaay35^2	kaay35^2	△	△	△	△	ˊgay	△	△
kaːy̯˨	△	△	△	△	kaay22_3	kaay22_3	△	△	△	△	ˍgay	△	△
kaːy̯˩	△	△	△	△	kaay11_1	kaay11_1	△	△	△	△	ˌgay	△	△
kaːy̯˩˧	△	△	△	△	kaay13_2	kaay13_2	△	△	△	△	ˏgay	△	△
kaːŋ˥	⠅⠉⠀	가ᇰ	gaang1	gaang1	kaaŋ55^1	kaang55^1	kaang	gäng	gang1	gaang1°	ˈgaŋ	ˈgaang	gāang
kaːŋ˥˧	↦ ⠅⠉⠀ [kaːŋ˥]	↦ 가ᇰ [kaːŋ˥]	↦ gaang1 [kaːŋ˥]	↦ gaang1 [kaːŋ˥]	kaaŋ53^1	kaang53^1	↦ kaang [kaːŋ˥]	↦ gäng [kaːŋ˥]	↦ gang1 [kaːŋ˥]	gaang1	↦ ˈgaŋ [kaːŋ˥]	↦ ˈgaang [kaːŋ˥]	gàang
kaːŋ˧	⠅⠉⠈	가ᇰ〮	gaang3	gaang3	kaaŋ33^3	kaang33^3	kaàng	gâng	gang3	gaang3	ˉgaŋ	ˉgaang	gaang
kaːŋ˧˥	⠅⠉⠁	가ᇰ〯	gaang2	gaang2	kaaŋ35^2	kaang35^2	kaáng	gãng	gang2	gaang2	ˊgaŋ	ˊgaang	gáang
kaːŋ˨	⠅⠉⠂	가ᇰ̣	gaang6	gaang6	kaaŋ22_3	kaang22_3	kaāng	gàng	gang6	gaang6	ˍgaŋ	ˍgaang	gaahng
kaːŋ˩	⠅⠉⠄	가ᇰ̲	gaang4	gaang4	kaaŋ11_1	kaang11_1	kaâng	gang	gang4	gaang4	ˌgaŋ	ˌgaang	gàahng
kaːŋ˩˧	⠅⠉⠠	가ᇰ̤	gaang5	gaang5	kaaŋ13_2	kaang13_2	kaǎng	gáng	gang5	gaang5	ˏgaŋ	ˏgaang	gáahng
ke˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˨	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˩	△	△	△	△	△	△	△	△	△	△	△	△	△
ke˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kei̯˥	⠅⠓⠀	게	gei1	gei1	kei55^1	kei55^1	kei	gëy	géi1	gei1°	ˈgei	ˈgei	gēi
kei̯˥˧	↦ ⠅⠓⠀ [kei̯˥]	↦ 게 [kei̯˥]	↦ gei1 [kei̯˥]	↦ gei1 [kei̯˥]	kei53^1	kei53^1	↦ kei [kei̯˥]	↦ gëy [kei̯˥]	↦ géi1 [kei̯˥]	gei1	↦ ˈgei [kei̯˥]	↦ ˈgei [kei̯˥]	gèi
kei̯˧	⠅⠓⠈	게〮	gei3	gei3	kei33^3	kei33^3	keì	gêy	géi3	gei3	ˉgei	ˉgei	gei
kei̯˧˥	⠅⠓⠁	게〯	gei2	gei2	kei35^2	kei35^2	keí	gẽy	géi2	gei2	ˊgei	ˊgei	géi
kei̯˨	⠅⠓⠂	게̣	gei6	gei6	kei22_3	kei22_3	keī	gèy	géi6	gei6	ˍgei	ˍgei	geih
kei̯˩	⠅⠓⠄	게̲	gei4	gei4	kei11_1	kei11_1	keî	gey	géi4	gei4	ˌgei	ˌgei	gèih
kei̯˩˧	⠅⠓⠠	게̤	gei5	gei5	kei13_2	kei13_2	keǐ	géy	géi5	gei5	ˏgei	ˏgei	géih
kek̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kek̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kem˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˨	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˩	△	△	△	△	△	△	△	△	△	△	△	△	△
ken˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kep̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
ket̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
keu̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
key̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
keŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kiː˥	⠅⠊⠀	기	gi1	gi1	ki55^1	ki55^1	ki	gï	gi1	gi1°	ˈgi	ˈgi	gī
kiː˥˧	↦ ⠅⠊⠀ [kiː˥]	↦ 기 [kiː˥]	↦ gi1 [kiː˥]	↦ gi1 [kiː˥]	ki53^1	ki53^1	↦ ki [kiː˥]	↦ gï [kiː˥]	↦ gi1 [kiː˥]	gi1	↦ ˈgi [kiː˥]	↦ ˈgi [kiː˥]	gì
kiː˧	⠅⠊⠈	기〮	gi3	gi3	ki33^3	ki33^3	kì	gî	gi3	gi3	ˉgi	ˉgi	gi
kiː˧˥	⠅⠊⠁	기〯	gi2	gi2	ki35^2	ki35^2	kí	gĩ	gi2	gi2	ˊgi	ˊgi	gí
kiː˨	⠅⠊⠂	기̣	gi6	gi6	ki22_3	ki22_3	kī	gì	gi6	gi6	ˍgi	ˍgi	gih
kiː˩	⠅⠊⠄	기̲	gi4	gi4	ki11_1	ki11_1	kî	gi	gi4	gi4	ˌgi	ˌgi	gìh
kiː˩˧	⠅⠊⠠	기̤	gi5	gi5	ki13_2	ki13_2	kǐ	gí	gi5	gi5	ˏgi	ˏgi	gíh
kiːk̚˥	△	△	↦ gik7 [kɪk̚˥]	↦ gik1 [kɪk̚˥]	↦ kik55^4 [kɪk̚˥]	↦ kik55^4 [kɪk̚˥]	↦ kik [kɪk̚˥]	gïg	↦ gig1 [kɪk̚˥]	↦ gik1° [kɪk̚˥]	↦ ˈgik [kɪk̚˥]	↦ ˈgik [kɪk̚˥]	↦ gīk [kɪk̚˥]
kiːk̚˥˧	△	△	↦ gik7 [kɪk̚˥]	↦ gik1 [kɪk̚˥]	⊖	⊖	↦ kik [kɪk̚˥]	↦ gïg [kiːk̚˥]	↦ gig1 [kɪk̚˥]	↦ gik1 [kɪk̚˥˧]	↦ ˈgik [kɪk̚˥]	↦ ˈgik [kɪk̚˥]	↦ gìk [kɪk̚˥˧]
kiːk̚˧	△	△	↦ gik8 [kɪk̚˧]	↦ gik3 [kɪk̚˧]	↦ kik33-4 [kɪk̚˧]	↦ kik33-4 [kɪk̚˧]	↦ kìk [kɪk̚˧]	gîg	↦ gig3 [kɪk̚˧]	↦ gik3 [kɪk̚˧]	↦ ˉgik [kɪk̚˧]	↦ ˉgik [kɪk̚˧]	↦ gik [kɪk̚˧]
kiːk̚˧˥	△	△	↦ gik2 [kɪk̚˧˥]	↦ gik2 [kɪk̚˧˥]	⊖	⊖	↦ kík [kɪk̚˧˥]	gĩg	↦ gig2 [kɪk̚˧˥]	↦ gik2 [kɪk̚˧˥]	↦ ˊgik [kɪk̚˧˥]	↦ ˊgik [kɪk̚˧˥]	↦ gík [kɪk̚˧˥]
kiːk̚˨	△	△	↦ gik9 [kɪk̚˨]	↦ gik6 [kɪk̚˨]	↦ kik22_4 [kɪk̚˨]	↦ kik22_4 [kɪk̚˨]	↦ kīk [kɪk̚˨]	gìg	↦ gig6 [kɪk̚˨]	↦ gik6 [kɪk̚˨]	↦ ˍgik [kɪk̚˨]	↦ ˍgik [kɪk̚˨]	↦ gihk [kɪk̚˨]
kiːk̚˩	△	△	↦ gik4 [kɪk̚˩]	↦ gik4 [kɪk̚˩]	⊖	⊖	↦ kîk [kɪk̚˩]	gig	↦ gig4 [kɪk̚˩]	↦ gik4 [kɪk̚˩]	↦ ˌgik [kɪk̚˩]	↦ ˌgik [kɪk̚˩]	↦ gìhk [kɪk̚˩]
kiːk̚˩˧	△	△	↦ gik5 [kɪk̚˩˧]	↦ gik5 [kɪk̚˩˧]	⊖	⊖	↦ kǐk [kɪk̚˩˧]	gíg	↦ gig5 [kɪk̚˩˧]	↦ gik5 [kɪk̚˩˧]	↦ ˏgik [kɪk̚˩˧]	↦ ˏgik [kɪk̚˩˧]	↦ gíhk [kɪk̚˩˧]
kiːm˥	⠅⠖⠀	김	gim1	gim1	kim55^1	kim55^1	kim	gïm	gim1	gim1°	ˈgim	ˈgim	gīm
kiːm˥˧	↦ ⠅⠖⠀ [kiːm˥]	↦ 김 [kiːm˥]	↦ gim1 [kiːm˥]	↦ gim1 [kiːm˥]	kim53^1	kim53^1	↦ kim [kiːm˥]	↦ gïm [kiːm˥]	↦ gim1 [kiːm˥]	gim1	↦ ˈgim [kiːm˥]	↦ ˈgim [kiːm˥]	gìm
kiːm˧	⠅⠖⠈	김〮	gim3	gim3	kim33^3	kim33^3	kìm	gîm	gim3	gim3	ˉgim	ˉgim	gim
kiːm˧˥	⠅⠖⠁	김〯	gim2	gim2	kim35^2	kim35^2	kím	gĩm	gim2	gim2	ˊgim	ˊgim	gím
kiːm˨	⠅⠖⠂	김̣	gim6	gim6	kim22_3	kim22_3	kīm	gìm	gim6	gim6	ˍgim	ˍgim	gihm
kiːm˩	⠅⠖⠄	김̲	gim4	gim4	kim11_1	kim11_1	kîm	gim	gim4	gim4	ˌgim	ˌgim	gìhm
kiːm˩˧	⠅⠖⠠	김̤	gim5	gim5	kim13_2	kim13_2	kǐm	gím	gim5	gim5	ˏgim	ˏgim	gíhm
kiːn˥	⠅⠲⠀	긴	gin1	gin1	kin55^1	kin55^1	kin	gïn	gin1	gin1°	ˈgin	ˈgin	gīn
kiːn˥˧	↦ ⠅⠲⠀ [kiːn˥]	↦ 긴 [kiːn˥]	↦ gin1 [kiːn˥]	↦ gin1 [kiːn˥]	kin53^1	kin53^1	↦ kin [kiːn˥]	↦ gïn [kiːn˥]	↦ gin1 [kiːn˥]	gin1	↦ ˈgin [kiːn˥]	↦ ˈgin [kiːn˥]	gìn
kiːn˧	⠅⠲⠈	긴〮	gin3	gin3	kin33^3	kin33^3	kìn	gîn	gin3	gin3	ˉgin	ˉgin	gin
kiːn˧˥	⠅⠲⠁	긴〯	gin2	gin2	kin35^2	kin35^2	kín	gĩn	gin2	gin2	ˊgin	ˊgin	gín
kiːn˨	⠅⠲⠂	긴̣	gin6	gin6	kin22_3	kin22_3	kīn	gìn	gin6	gin6	ˍgin	ˍgin	gihn
kiːn˩	⠅⠲⠄	긴̲	gin4	gin4	kin11_1	kin11_1	kîn	gin	gin4	gin4	ˌgin	ˌgin	gìhn
kiːn˩˧	⠅⠲⠠	긴̤	gin5	gin5	kin13_2	kin13_2	kǐn	gín	gin5	gin5	ˏgin	ˏgin	gíhn
kiːp̚˥	⠅⠯⠀	깁	gip7	gip1	kip55^4	kip55^4	kip	gïb	gib1	gip1°	ˈgip	ˈgip	gīp
kiːp̚˥˧	↦ ⠅⠯⠀ [kiːp̚˥]	↦ 깁 [kiːp̚˥]	↦ gip7 [kiːp̚˥]	↦ gip1 [kiːp̚˥]	⊖	⊖	↦ kip [kiːp̚˥]	↦ gïb [kiːp̚˥]	↦ gib1 [kiːp̚˥]	gip1	↦ ˈgip [kiːp̚˥]	↦ ˈgip [kiːp̚˥]	gìp
kiːp̚˧	⠅⠯⠈	깁〮	gip8	gip3	kip33-4	kip33-4	kìp	gîb	gib3	gip3	ˉgip	ˉgip	gip
kiːp̚˧˥	⠅⠯⠁	깁〯	gip2	gip2	⊖	⊖	kíp	gĩb	gib2	gip2	ˊgip	ˊgip	gíp
kiːp̚˨	⠅⠯⠂	깁̣	gip9	gip6	kip22_4	kip22_4	kīp	gìb	gib6	gip6	ˍgip	ˍgip	gihp
kiːp̚˩	⠅⠯⠄	깁̲	gip4	gip4	⊖	⊖	kîp	gib	gib4	gip4	ˌgip	ˌgip	gìhp
kiːp̚˩˧	⠅⠯⠠	깁̤	gip5	gip5	⊖	⊖	kǐp	gíb	gib5	gip5	ˏgip	ˏgip	gíhp
kiːt̚˥	⠅⠾⠀	긷	git7	git1	kit55^4	kit55^4	kit	gïd	gid1	git1°	ˈgit	ˈgit	gīt
kiːt̚˥˧	↦ ⠅⠾⠀ [kiːt̚˥]	↦ 긷 [kiːt̚˥]	↦ git7 [kiːt̚˥]	↦ git1 [kiːt̚˥]	⊖	⊖	↦ kit [kiːt̚˥]	↦ gïd [kiːt̚˥]	↦ gid1 [kiːt̚˥]	git1	↦ ˈgit [kiːt̚˥]	↦ ˈgit [kiːt̚˥]	gìt
kiːt̚˧	⠅⠾⠈	긷〮	git8	git3	kit33-4	kit33-4	kìt	gîd	gid3	git3	ˉgit	ˉgit	git
kiːt̚˧˥	⠅⠾⠁	긷〯	git2	git2	⊖	⊖	kít	gĩd	gid2	git2	ˊgit	ˊgit	gít
kiːt̚˨	⠅⠾⠂	긷̣	git9	git6	kit22_4	kit22_4	kīt	gìd	gid6	git6	ˍgit	ˍgit	giht
kiːt̚˩	⠅⠾⠄	긷̲	git4	git4	⊖	⊖	kît	gid	gid4	git4	ˌgit	ˌgit	gìht
kiːt̚˩˧	⠅⠾⠠	긷̤	git5	git5	⊖	⊖	kǐt	gíd	gid5	git5	ˏgit	ˏgit	gíht
kiːu̯˥	⠅⠽⠀	규	giu1	giu1	kiu55^1	kiu55^1	kiu	gïu	giu1	giu1°	ˈgiu	ˈgiu	gīu
kiːu̯˥˧	↦ ⠅⠽⠀ [kiːu̯˥]	↦ 규 [kiːu̯˥]	↦ giu1 [kiːu̯˥]	↦ giu1 [kiːu̯˥]	kiu53^1	kiu53^1	↦ kiu [kiːu̯˥]	↦ gïu [kiːu̯˥]	↦ giu1 [kiːu̯˥]	giu1	↦ ˈgiu [kiːu̯˥]	↦ ˈgiu [kiːu̯˥]	gìu
kiːu̯˧	⠅⠽⠈	규〮	giu3	giu3	kiu33^3	kiu33^3	kiù	gîu	giu3	giu3	ˉgiu	ˉgiu	giu
kiːu̯˧˥	⠅⠽⠁	규〯	giu2	giu2	kiu35^2	kiu35^2	kiú	gĩu	giu2	giu2	ˊgiu	ˊgiu	gíu
kiːu̯˨	⠅⠽⠂	규̣	giu6	giu6	kiu22_3	kiu22_3	kiū	gìu	giu6	giu6	ˍgiu	ˍgiu	giuh
kiːu̯˩	⠅⠽⠄	규̲	giu4	giu4	kiu11_1	kiu11_1	kiû	giu	giu4	giu4	ˌgiu	ˌgiu	gìuh
kiːu̯˩˧	⠅⠽⠠	규̤	giu5	giu5	kiu13_2	kiu13_2	kiǔ	gíu	giu5	giu5	ˏgiu	ˏgiu	gíuh
kiːy̯˥	△	△	△	△	kiy55^1	kiy55^1	△	△	△	△	ˈgiy	△	△
kiːy̯˥˧	△	△	△	△	kiy53^1	kiy53^1	△	△	△	△	↦ ˈgiy [kiːy̯˥]	△	△
kiːy̯˧	△	△	△	△	kiy33^3	kiy33^3	△	△	△	△	ˉgiy	△	△
kiːy̯˧˥	△	△	△	△	kiy35^2	kiy35^2	△	△	△	△	ˊgiy	△	△
kiːy̯˨	△	△	△	△	kiy22_3	kiy22_3	△	△	△	△	ˍgiy	△	△
kiːy̯˩	△	△	△	△	kiy11_1	kiy11_1	△	△	△	△	ˌgiy	△	△
kiːy̯˩˧	△	△	△	△	kiy13_2	kiy13_2	△	△	△	△	ˏgiy	△	△
kiːŋ˥	△	△	↦ ging1 [kɪŋ˥]	↦ ging1 [kɪŋ˥]	↦ kiŋ55^1 [kɪŋ˥]	↦ king55^1 [kɪŋ˥]	↦ king [kɪŋ˥]	gïng	↦ ging1 [kɪŋ˥]	↦ ging1° [kɪŋ˥]	↦ ˈgiŋ [kɪŋ˥]	↦ ˈging [kɪŋ˥]	↦ gīng [kɪŋ˥]
kiːŋ˥˧	△	△	↦ ging1 [kɪŋ˥]	↦ ging1 [kɪŋ˥]	↦ kiŋ53^1 [kɪŋ˥˧]	↦ king53^1 [kɪŋ˥˧]	↦ king [kɪŋ˥]	↦ gïng [kiːŋ˥]	↦ ging1 [kɪŋ˥]	↦ ging1 [kɪŋ˥˧]	↦ ˈgiŋ [kɪŋ˥]	↦ ˈging [kɪŋ˥]	↦ gìng [kɪŋ˥˧]
kiːŋ˧	△	△	↦ ging3 [kɪŋ˧]	↦ ging3 [kɪŋ˧]	↦ kiŋ33^3 [kɪŋ˧]	↦ king33^3 [kɪŋ˧]	↦ kìng [kɪŋ˧]	gîng	↦ ging3 [kɪŋ˧]	↦ ging3 [kɪŋ˧]	↦ ˉgiŋ [kɪŋ˧]	↦ ˉging [kɪŋ˧]	↦ ging [kɪŋ˧]
kiːŋ˧˥	△	△	↦ ging2 [kɪŋ˧˥]	↦ ging2 [kɪŋ˧˥]	↦ kiŋ35^2 [kɪŋ˧˥]	↦ king35^2 [kɪŋ˧˥]	↦ kíng [kɪŋ˧˥]	gĩng	↦ ging2 [kɪŋ˧˥]	↦ ging2 [kɪŋ˧˥]	↦ ˊgiŋ [kɪŋ˧˥]	↦ ˊging [kɪŋ˧˥]	↦ gíng [kɪŋ˧˥]
kiːŋ˨	△	△	↦ ging6 [kɪŋ˨]	↦ ging6 [kɪŋ˨]	↦ kiŋ22_3 [kɪŋ˨]	↦ king22_3 [kɪŋ˨]	↦ kīng [kɪŋ˨]	gìng	↦ ging6 [kɪŋ˨]	↦ ging6 [kɪŋ˨]	↦ ˍgiŋ [kɪŋ˨]	↦ ˍging [kɪŋ˨]	↦ gihng [kɪŋ˨]
kiːŋ˩	△	△	↦ ging4 [kɪŋ˩]	↦ ging4 [kɪŋ˩]	↦ kiŋ11_1 [kɪŋ˩]	↦ king11_1 [kɪŋ˩]	↦ kîng [kɪŋ˩]	ging	↦ ging4 [kɪŋ˩]	↦ ging4 [kɪŋ˩]	↦ ˌgiŋ [kɪŋ˩]	↦ ˌging [kɪŋ˩]	↦ gìhng [kɪŋ˩]
kiːŋ˩˧	△	△	↦ ging5 [kɪŋ˩˧]	↦ ging5 [kɪŋ˩˧]	↦ kiŋ13_2 [kɪŋ˩˧]	↦ king13_2 [kɪŋ˩˧]	↦ kǐng [kɪŋ˩˧]	gíng	↦ ging5 [kɪŋ˩˧]	↦ ging5 [kɪŋ˩˧]	↦ ˏgiŋ [kɪŋ˩˧]	↦ ˏging [kɪŋ˩˧]	↦ gíhng [kɪŋ˩˧]
km̩˥	△	ᄀᅠᆷ	gm1	gm1	km55^1	km55^1	km	gm̈	gm1	gm1°	ˈgm	ˈgm	gm̄
km̩˥˧	△	↦ ᄀᅠᆷ [km̩˥]	↦ gm1 [km̩˥]	↦ gm1 [km̩˥]	km53^1	km53^1	↦ km [km̩˥]	↦ gm̈ [km̩˥]	↦ gm1 [km̩˥]	gm1	↦ ˈgm [km̩˥]	↦ ˈgm [km̩˥]	gm̀
km̩˧	△	ᄀᅠᆷ〮	gm3	gm3	km33^3	km33^3	km̀	gm̂	gm3	gm3	ˉgm	ˉgm	gm
km̩˧˥	△	ᄀᅠᆷ〯	gm2	gm2	km35^2	km35^2	kḿ	gm̃	gm2	gm2	ˊgm	ˊgm	gḿ
km̩˨	△	ᄀᅠᆷ̣	gm6	gm6	km22_3	km22_3	km̄	gm̀	gm6	gm6	ˍgm	ˍgm	gmh
km̩˩	△	ᄀᅠᆷ̲	gm4	gm4	km11_1	km11_1	km̂	gm	gm4	gm4	ˌgm	ˌgm	gm̀h
km̩˩˧	△	ᄀᅠᆷ̤	gm5	gm5	km13_2	km13_2	km̌	gḿ	gm5	gm5	ˏgm	ˏgm	gḿh
ko˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˧	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˨	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˩	△	△	△	△	△	△	△	△	△	△	△	△	△
ko˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
koi̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kok̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kom˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kon˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kop̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
kot̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
kou̯˥	⠅⠧⠀	ᄀᆃ	gou1	gou1	kou55^1	kou55^1	ko	göw	gou1	gou1°	ˈgou	ˈgou	gōu
kou̯˥˧	↦ ⠅⠧⠀ [kou̯˥]	↦ ᄀᆃ [kou̯˥]	↦ gou1 [kou̯˥]	↦ gou1 [kou̯˥]	kou53^1	kou53^1	↦ ko [kou̯˥]	↦ göw [kou̯˥]	↦ gou1 [kou̯˥]	gou1	↦ ˈgou [kou̯˥]	↦ ˈgou [kou̯˥]	gòu
kou̯˧	⠅⠧⠈	ᄀᆃ〮	gou3	gou3	kou33^3	kou33^3	kò	gôw	gou3	gou3	ˉgou	ˉgou	gou
kou̯˧˥	⠅⠧⠁	ᄀᆃ〯	gou2	gou2	kou35^2	kou35^2	kó	gõw	gou2	gou2	ˊgou	ˊgou	góu
